nornal sentence,aggressive sentence
sao con nói zị,Mày tin tao đấm mày không
Bạn đẹp trai quá,Mất dạy hả con mẹ mày
gia đình bạn thế nào,đỉ mẹ nó
mẹ biết mẹ buồn đó,Mày biết bố mày là ai không
bạn tên gì,cc
bạn khỏe không,Ngu như chó
bạn cho tớ xin info,ê mỏ hỗn
Bạn thật vui tính,vl
Lương tháng này ít quá,Thằng mọi đen
App làm đơ lag không dùng được,fuck you
Sản phẩm không như mô tả,ngon nhào dzo
Nhân viên quán phục vụ kém,đấm chết mẹ mày giờ
ủa rồi normal chưaaa,DCMM
Đồ ăn có ruồi,Da đen là nô lệ của xã hội
Quán có nhân viên nữ không ạ,mỏ hỗn
Bên mình có cho ngủ lại quán không ?,Cái quần què
ngừng trì hoãn và bắt đầu làm,quầy quầy quay quay la lá là là la la
chào bạn bạn tên gì,Chô tồ mát tề
đừng có buồn,Gô mên na sai
Phim hay lúc đầu lúc sau rất cảm động,Sa zô na ra
"xinh đẹp, tuyệt vời, 10 điểm",Cút
Học trực tuyến với trợ giảng sẵn sàng,Ngậm con mẹ mồm mày vào
đóng gói sản phẩm tốt,Ngu
đồ ăn ngon quá,mày đừng làm wibu nữa
món gì ngon thía,Young Cha
"  Chào bạn, chúc bạn buổi sáng vui vẻ","Đừng đăng ảnh nữa, tôi bỏ theo dõi đấy"
Chúc 1 ngày tốt lành,Ngừng ẳng ngu nữa
Cố lên bạn ơi!,Chó đẻ
Xin chào. Tiền mình khi nào bạn trả,Baka
Năm mới nợ mới,Bitch
Ơ mây zing gút chóp em,sẽ gầy
họ mà quay lưng coi như vức,ngu như chó
Ô dề,clm
Ét ô ét,Bạn bị VNPT à?
bé mèo dễ thương,tôi có ông anh sinh năm 96 học IT
oniichan,fan MU lại vào hang rồi 
chó phú quốc 2 tuổi,Khoa X
,si nê
,Tiểu lị lụ mũ
,Trần đức bo
,mấy thằng não phẳng này
,đcm
,cồ nô da rô